session_id,object_position,heading,target,value,time,view_point
8,520,0,0,6.488115,7.94499999999971,180
8,863,0,0,1.123303,5.01499999999942,180
8,715,0,45,98.6955,13.525999999998,180
8,523,0,45,45,15.2930000000051,180
8,718,0,90,103.0274,14.0820000000022,180
8,203,0,90,56.77913,17.3320000000022,180
8,206,0,135,103.0274,12.7260000000024,180
8,528,0,135,103.0274,12.0670000000027,180
8,205,0,180,177.0816,10.4049999999988,180
8,638,0,180,177.0816,6.11800000000221,180
8,527,0,225,256.9726,11.8459999999977,180
8,507,0,225,260.4284,11.679999999993,180
8,867,0,270,259.5568,9.68500000000495,180
8,634,0,270,256.9726,6.5879999999961,180
8,714,0,315,10.00798,7.65999999999622,180
8,632,0,315,258.6901,10.2439999999988,180
8,751,45,0,256.9726,8.16799999999785,180
8,731,45,0,234.0395,30.038999999997,180
8,735,45,45,47.09525,9.21499999999651,180
8,410,45,45,45,10.2459999999992,180
8,406,45,90,61.40528,7.65400000000227,180
8,102,45,90,54.93265,10.0760000000009,180
8,105,45,135,65.35323,20.0839999999953,180
8,538,45,135,100.4432,16.5370000000039,180
8,107,45,180,90.22469,5.39600000000064,180
8,107,45,180,102.1715,6.6820000000007,180
8,107,45,180,90.22469,5.39600000000064,180
8,107,45,180,102.1715,6.6820000000007,180
8,104,45,225,135,9.4429999999993,180
8,537,45,225,212.9052,15.0630000000019,180
8,534,45,270,225,10.0619999999981,180
8,534,45,270,225,15.1189999999988,180
8,534,45,270,225,10.0619999999981,180
8,534,45,270,225,15.1189999999988,180
8,734,45,315,223.3832,8.0109999999986,180
8,531,45,315,227.3373,9.44399999999587,180
8,230,90,0,248.3925,7.68499999999767,180
8,781,90,0,258.6901,7.33999999999651,180
8,783,90,45,295.3848,9.03600000000006,180
8,461,90,45,257.8286,4.95899999999529,180
8,465,90,90,72.37771,5.29000000000087,180
8,123,90,90,259.5568,8.58499999999913,180
8,128,90,135,6.488115,12.1270000000004,180
8,236,90,135,74.85902,4.31700000000274,180
8,137,90,180,76.12247,27.8630000000048,180
8,235,90,180,128.169,15.3690000000061,180
8,124,90,225,63.88609,6.34700000000157,180
8,567,90,225,225,9.4739999999947,180
8,231,90,270,225,8.83099999999831,180
8,564,90,270,225,11.0870000000068,180
8,784,90,315,261.3045,16.239999999998,180
8,561,90,315,256.9726,10.8009999999995,180
8,260,135,0,256.9726,13.0849999999991,180
8,580,135,0,256.9726,5.89099999999598,180
8,471,135,45,180.2247,10.3060000000041,180
8,583,135,45,304.4608,14.6970000000001,180
8,476,135,90,246.1001,17.6189999999988,180
8,263,135,90,297.1907,6.08499999999913,180
8,158,135,135,306.545,11.737000000001,180
8,185,135,135,46.61679,9.50100000000384,180
8,157,135,180,56.77913,16.5829999999987,180
8,032,135,180,102.1715,12.1690000000017,180
8,031,135,225,180.2247,10.0220000000045,180
8,154,135,225,83.95591,14.6310000000012,180
8,584,135,270,222.6627,67.8899999999994,180
8,261,135,270,208.5947,14.3889999999956,180
8,581,135,315,217.4054,19.7790000000023,180
8,581,135,315,206.834,8.39900000000489,180
8,581,135,315,217.4054,19.7790000000023,180
8,581,135,315,206.834,8.39900000000489,180
8,250,180,0,170.8659,4.0480000000025,180
8,683,180,0,170.8659,8.81199999999808,180
8,170,180,45,269.7753,8.8489999999947,180
8,170,180,45,258.6901,5.98099999999977,180
8,170,180,45,269.7753,8.8489999999947,180
8,170,180,45,258.6901,5.98099999999977,180
8,172,180,90,257.8286,18.872000000003,180
8,253,180,90,223.8542,14.0380000000005,180
8,023,180,135,256.9726,4.59200000000419,180
8,256,180,135,257.8286,7.76400000000285,180
8,368,180,180,89.77531,33.7000000000044,180
8,052,180,180,225,6.6710000000021,180
8,174,180,225,30.96376,8.25900000000547,180
8,024,180,225,85.73878,8.94499999999971,180
8,382,180,270,62.10273,8.27199999999721,180
8,684,180,270,90.22469,13.4920000000056,180
8,380,180,315,102.1715,5.75799999999435,180
8,682,180,315,102.1715,6.47800000000279,180
8,572,225,0,98.6955,9.73999999999796,180
